Дата и время;Состояние батареи.Напряжение.Значение;Состояние батареи.Напряжение.Качество;Статус прибора.Статус.Значение;Статус прибора.Статус.Качество;Фаза А.Напряжение.Значение;Фаза А.Напряжение.Качество;Фаза А.Ток.Значение;Фаза А.Ток.Качество;Фаза А.Активная мощность.Значение;Фаза А.Активная мощность.Качество;Фаза А.Реактивная мощность.Значение;Фаза А.Реактивная мощность.Качество;Фаза А.Полная мощность.Значение;Фаза А.Полная мощность.Качество;Фаза А.Коэффициент мощности.Значение;Фаза А.Коэффициент мощности.Качество;Фаза B.Напряжение.Значение;Фаза B.Напряжение.Качество;Фаза B.Ток.Значение;Фаза B.Ток.Качество;Фаза B.Активная мощность.Значение;Фаза B.Активная мощность.Качество;Фаза B.Реактивная мощность.Значение;Фаза B.Реактивная мощность.Качество;Фаза B.Полная мощность.Значение;Фаза B.Полная мощность.Качество;Фаза B.Коэффициент мощности.Значение;Фаза B.Коэффициент мощности.Качество;Фаза C.Напряжение.Значение;Фаза C.Напряжение.Качество;Фаза C.Ток.Значение;Фаза C.Ток.Качество;Фаза C.Активная мощность.Значение;Фаза C.Активная мощность.Качество;Фаза C.Реактивная мощность.Значение;Фаза C.Реактивная мощность.Качество;Фаза C.Полная мощность.Значение;Фаза C.Полная мощность.Качество;Фаза C.Коэффициент мощности.Значение;Фаза C.Коэффициент мощности.Качество;Межфазные значения.Межфазный угол A-B.Значение;Межфазные значения.Межфазный угол A-B.Качество;Межфазные значения.Межфазный угол B-C.Значение;Межфазные значения.Межфазный угол B-C.Качество;Межфазные значения.Межфазный угол C-A.Значение;Межфазные значения.Межфазный угол C-A.Качество;Межфазные значения.Межфазное напряжение A-B.Значение;Межфазные значения.Межфазное напряжение A-B.Качество;Межфазные значения.Межфазное напряжение B-C.Значение;Межфазные значения.Межфазное напряжение B-C.Качество;Межфазные значения.Межфазное напряжение C-A.Значение;Межфазные значения.Межфазное напряжение C-A.Качество;Результаты измерений.Частота сети.Значение;Результаты измерений.Частота сети.Качество;Измерение параметров электросети.Статус ошибок измерений.Значение;Измерение параметров электросети.Статус ошибок измерений.Качество;Дискретные выходы.Изменить состояние дискретных выходов.Значение;Дискретные выходы.Изменить состояние дискретных выходов.Качество;
04.11.2025 4:27:19;3094;GOOD;0;GOOD;243,747;GOOD;1,434;GOOD;-0,3138;GOOD;0,0745;GOOD;0,3506;GOOD;0,896;GOOD;235,66;GOOD;0,16;GOOD;-0,0076;GOOD;0,0318;GOOD;0,0377;GOOD;0,203;GOOD;245,772;GOOD;0,782;GOOD;-0,1465;GOOD;0,0219;GOOD;0,1933;GOOD;0,758;GOOD;122,442;GOOD;120,68;GOOD;116,812;GOOD;420,125;GOOD;418,318;GOOD;416,866;GOOD;50,01;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:27:49;3094;GOOD;0;GOOD;245,309;GOOD;1,426;GOOD;-0,3138;GOOD;0,0777;GOOD;0,3507;GOOD;0,897;GOOD;237,151;GOOD;0,161;GOOD;-0,0079;GOOD;0,0318;GOOD;0,0382;GOOD;0,211;GOOD;243,026;GOOD;0,765;GOOD;-0,1439;GOOD;0,0306;GOOD;0,1862;GOOD;0,773;GOOD;121,676;GOOD;121,122;GOOD;117,136;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 4:27:50;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;421,211;GOOD;418,179;GOOD;416,605;GOOD;50,018;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:28:19;3094;GOOD;0;GOOD;245,957;GOOD;1,437;GOOD;-0,316;GOOD;0,0888;GOOD;0,3533;GOOD;0,895;GOOD;237,71;GOOD;0,162;GOOD;-0,008;GOOD;0,0321;GOOD;0,0385;GOOD;0,211;GOOD;243,099;GOOD;0,773;GOOD;-0,1444;GOOD;0,0288;GOOD;0,1883;GOOD;0,768;GOOD;121,406;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 4:28:20;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;120,656;GOOD;117,855;GOOD;421,842;GOOD;417,891;GOOD;418,57;GOOD;50,007;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:28:50;3094;GOOD;0;GOOD;245,013;GOOD;1,458;GOOD;-0,3207;GOOD;0,0867;GOOD;0,3571;GOOD;0,898;GOOD;237,107;GOOD;0,162;GOOD;-0,0079;GOOD;0,0322;GOOD;0,0383;GOOD;0,209;GOOD;247,376;GOOD;0,766;GOOD;-0,1456;GOOD;0,0268;GOOD;0,1898;GOOD;0,768;GOOD;122,906;GOOD;119,836;GOOD;117,168;GOOD;423,356;GOOD;419,444;GOOD;420,083;GOOD;49,993;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:29:20;3094;GOOD;0;GOOD;243,497;GOOD;1,466;GOOD;-0,3187;GOOD;0,0774;GOOD;0,3564;GOOD;0,895;GOOD;238,01;GOOD;0,161;GOOD;-0,0078;GOOD;0,0322;GOOD;0,0383;GOOD;0,208;GOOD;247,713;GOOD;0,762;GOOD;-0,1448;GOOD;0,0193;GOOD;0,1875;GOOD;0,773;GOOD;123,282;GOOD;119,824;GOOD;116,812;GOOD;423,635;GOOD;420,285;GOOD;418,339;GOOD;50,007;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:29:50;3094;GOOD;0;GOOD;243,812;GOOD;1,525;GOOD;-0,3341;GOOD;0,0805;GOOD;0,3723;GOOD;0,899;GOOD;236,804;GOOD;0,162;GOOD;-0,0077;GOOD;0,0321;GOOD;0,0383;GOOD;0,202;GOOD;247,362;GOOD;0,782;GOOD;-0,1465;GOOD;0,0294;GOOD;0,1942;GOOD;0,754;GOOD;123,106;GOOD;120,051;GOOD;116,769;GOOD;422,619;GOOD;419,345;GOOD;418,545;GOOD;50,011;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:30:20;3094;GOOD;0;GOOD;245,068;GOOD;1,471;GOOD;-0,3224;GOOD;0,0801;GOOD;0,3617;GOOD;0,892;GOOD;235,084;GOOD;0,161;GOOD;-0,0077;GOOD;0,0313;GOOD;0,0378;GOOD;0,208;GOOD;247,719;GOOD;0,804;GOOD;-0,1485;GOOD;0,0348;GOOD;0,1971;GOOD;0,754;GOOD;123,265;GOOD;119,988;GOOD;116,707;GOOD;422,587;GOOD;418,238;GOOD;419,425;GOOD;49,998;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:30:50;3094;GOOD;0;GOOD;244,076;GOOD;1,46;GOOD;-0,3192;GOOD;0,0854;GOOD;0,357;GOOD;0,895;GOOD;235,21;GOOD;0,162;GOOD;-0,0079;GOOD;0,0308;GOOD;0,0382;GOOD;0,21;GOOD;249,384;GOOD;0,775;GOOD;-0,1459;GOOD;0,0298;GOOD;0,1935;GOOD;0,755;GOOD;123,534;GOOD;119,176;GOOD;117,208;GOOD;422,361;GOOD;418,13;GOOD;421,315;GOOD;49,987;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:31:20;3094;GOOD;0;GOOD;244,844;GOOD;1,435;GOOD;-0,3157;GOOD;0,08;GOOD;0,3513;GOOD;0,899;GOOD;235,947;GOOD;0,161;GOOD;-0,0078;GOOD;0,032;GOOD;0,0379;GOOD;0,208;GOOD;248,904;GOOD;0,726;GOOD;-0,1414;GOOD;0,0317;GOOD;0,1796;GOOD;0,788;GOOD;123,657;GOOD;119,512;GOOD;116,753;GOOD;423,694;GOOD;418,771;GOOD;420,22;GOOD;50,013;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:31:51;3094;GOOD;0;GOOD;244,962;GOOD;1,465;GOOD;-0,3218;GOOD;0,0833;GOOD;0,3589;GOOD;0,897;GOOD;236,43;GOOD;0,171;GOOD;-0,0097;GOOD;0,033;GOOD;0,0405;GOOD;0,241;GOOD;249,396;GOOD;0,768;GOOD;-0,1472;GOOD;0,0227;GOOD;0,1914;GOOD;0,769;GOOD;123,672;GOOD;120,277;GOOD;115,965;GOOD;424,507;GOOD;421,316;GOOD;419,341;GOOD;50,002;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:32:21;3094;GOOD;0;GOOD;242,527;GOOD;1,472;GOOD;-0,3202;GOOD;0,0783;GOOD;0,3567;GOOD;0,897;GOOD;237,412;GOOD;0,16;GOOD;-0,0075;GOOD;0,0319;GOOD;0,0381;GOOD;0,201;GOOD;249,819;GOOD;0,768;GOOD;-0,1459;GOOD;0,0342;GOOD;0,1931;GOOD;0,758;GOOD;123,258;GOOD;120,188;GOOD;116,496;GOOD;422,424;GOOD;422,3;GOOD;419,041;GOOD;50;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:32:51;3094;GOOD;0;GOOD;241,786;GOOD;1,488;GOOD;-0,3204;GOOD;0,0814;GOOD;0,3596;GOOD;0,891;GOOD;236,602;GOOD;0,162;GOOD;-0,0077;GOOD;0,0317;GOOD;0,0383;GOOD;0,205;GOOD;250,726;GOOD;0,784;GOOD;-0,147;GOOD;0,035;GOOD;0,1942;GOOD;0,753;GOOD;123,439;GOOD;119,957;GOOD;116,511;GOOD;421,298;GOOD;421,974;GOOD;418,898;GOOD;50,016;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:33:21;3094;GOOD;0;GOOD;242,982;GOOD;1,472;GOOD;-0,3197;GOOD;0,0757;GOOD;0,3582;GOOD;0,894;GOOD;235,953;GOOD;0,162;GOOD;-0,008;GOOD;0,0319;GOOD;0,0381;GOOD;0,209;GOOD;250,908;GOOD;0,782;GOOD;-0,1471;GOOD;0,0258;GOOD;0,1954;GOOD;0,753;GOOD;123,239;GOOD;120,227;GOOD;116,464;GOOD;421,269;GOOD;422,305;GOOD;419,664;GOOD;50,013;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:33:51;3094;GOOD;0;GOOD;242,678;GOOD;1,663;GOOD;-0,3658;GOOD;0,1006;GOOD;0,4037;GOOD;0,906;GOOD;237,405;GOOD;0,162;GOOD;-0,0079;GOOD;0,0325;GOOD;0,0383;GOOD;0,209;GOOD;250,999;GOOD;0,767;GOOD;-0,1458;GOOD;0,0275;GOOD;0,1919;GOOD;0,761;GOOD;122,91;GOOD;120,184;GOOD;116,82;GOOD;421,684;GOOD;423,341;GOOD;420,547;GOOD;50,003;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:34:21;3094;GOOD;0;GOOD;242,553;GOOD;1,489;GOOD;-0,3247;GOOD;0,0892;GOOD;0,3617;GOOD;0,9;GOOD;237,229;GOOD;0,162;GOOD;-0,0079;GOOD;0,0323;GOOD;0,0383;GOOD;0,21;GOOD;251,701;GOOD;0,746;GOOD;-0,1443;GOOD;0,0278;GOOD;0,1876;GOOD;0,769;GOOD;122,774;GOOD;119,922;GOOD;117,226;GOOD;421,071;GOOD;423,286;GOOD;421,764;GOOD;50,002;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:34:52;3094;GOOD;0;GOOD;242,541;GOOD;1,458;GOOD;-0,3162;GOOD;0,0751;GOOD;0,3535;GOOD;0,894;GOOD;236,38;GOOD;0,161;GOOD;-0,0078;GOOD;0,0315;GOOD;0,038;GOOD;0,209;GOOD;252,352;GOOD;0,766;GOOD;-0,1452;GOOD;0,0354;GOOD;0,1933;GOOD;0,752;GOOD;122,649;GOOD;119,625;GOOD;117,656;GOOD;420,273;GOOD;422,562;GOOD;423,499;GOOD;50,01;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:35:22;3094;GOOD;0;GOOD;243,803;GOOD;1,493;GOOD;-0,3246;GOOD;0,0854;GOOD;0,3622;GOOD;0,892;GOOD;235,824;GOOD;0,16;GOOD;-0,0075;GOOD;0,0312;GOOD;0,0378;GOOD;0,201;GOOD;251,338;GOOD;0,771;GOOD;-0,1459;GOOD;0,0349;GOOD;0,1934;GOOD;0,755;GOOD;122,602;GOOD;119,492;GOOD;117,789;GOOD;420,696;GOOD;420,774;GOOD;424,152;GOOD;49,992;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:35:52;3094;GOOD;0;GOOD;244,427;GOOD;1,466;GOOD;-0,3206;GOOD;0,0755;GOOD;0,358;GOOD;0,896;GOOD;237,513;GOOD;0,161;GOOD;-0,0078;GOOD;0,0325;GOOD;0,0383;GOOD;0,205;GOOD;249,965;GOOD;0,753;GOOD;-0,1443;GOOD;0,0227;GOOD;0,1877;GOOD;0,769;GOOD;121,922;GOOD;120,164;GOOD;117,863;GOOD;421,423;GOOD;422,479;GOOD;423,613;GOOD;49,998;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:36:22;3094;GOOD;0;GOOD;244,365;GOOD;1,461;GOOD;-0,319;GOOD;0,0801;GOOD;0,3569;GOOD;0,894;GOOD;236,758;GOOD;0,16;GOOD;-0,0077;GOOD;0,0324;GOOD;0,0379;GOOD;0,205;GOOD;249,475;GOOD;0,761;GOOD;-0,1441;GOOD;0,0218;GOOD;0,1887;GOOD;0,764;GOOD;121,488;GOOD;120,578;GOOD;117,864;GOOD;419,717;GOOD;422,361;GOOD;423,006;GOOD;49,992;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:36:52;3094;GOOD;0;GOOD;243,421;GOOD;1,459;GOOD;-0,3188;GOOD;0,0852;GOOD;0,3553;GOOD;0,898;GOOD;236,752;GOOD;0,161;GOOD;-0,0077;GOOD;0,0322;GOOD;0,038;GOOD;0,208;GOOD;250,539;GOOD;0,762;GOOD;-0,1456;GOOD;0,0312;GOOD;0,1914;GOOD;0,761;GOOD;122,129;GOOD;120,441;GOOD;117,34;GOOD;420,332;GOOD;423,022;GOOD;421,987;GOOD;49,997;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:37:22;3094;GOOD;0;GOOD;242,946;GOOD;1,484;GOOD;-0,3224;GOOD;0,0777;GOOD;0,3601;GOOD;0,894;GOOD;237,061;GOOD;0,163;GOOD;-0,0078;GOOD;0,032;GOOD;0,0386;GOOD;0,203;GOOD;251,845;GOOD;0,781;GOOD;-0,1474;GOOD;0,0349;GOOD;0,1968;GOOD;0,749;GOOD;122,395;GOOD;120,02;GOOD;117,512;GOOD;420,69;GOOD;423,538;GOOD;422,992;GOOD;50,005;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:37:52;3094;GOOD;0;GOOD;243,396;GOOD;1,445;GOOD;-0,3148;GOOD;0,0751;GOOD;0,3517;GOOD;0,895;GOOD;236,392;GOOD;0,162;GOOD;-0,008;GOOD;0,0318;GOOD;0,0383;GOOD;0,212;GOOD;251,208;GOOD;0,748;GOOD;-0,144;GOOD;0,03;GOOD;0,1883;GOOD;0,766;GOOD;123,046;GOOD;119,84;GOOD;117,04;GOOD;421,76;GOOD;422,077;GOOD;421,686;GOOD;49,992;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:38:22;3094;GOOD;0;GOOD;243,318;GOOD;1,475;GOOD;-0,3194;GOOD;0,0742;GOOD;0,3586;GOOD;0,89;GOOD;236,333;GOOD;0,161;GOOD;-0,0078;GOOD;0,0317;GOOD;0,0381;GOOD;0,208;GOOD;251,429;GOOD;0,794;GOOD;-0,1479;GOOD;0,036;GOOD;0,1994;GOOD;0,742;GOOD;123,172;GOOD;119,379;GOOD;117,375;GOOD;421,855;GOOD;421,232;GOOD;422,604;GOOD;50,005;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:38:52;3094;GOOD;0;GOOD;244,471;GOOD;1,461;GOOD;-0,3186;GOOD;0,0844;GOOD;0,3575;GOOD;0,893;GOOD;236,08;GOOD;0,162;GOOD;-0,0078;GOOD;0,0314;GOOD;0,0381;GOOD;0,208;GOOD;249,955;GOOD;0,78;GOOD;-0,1466;GOOD;0,0264;GOOD;0,1952;GOOD;0,752;GOOD;122,774;GOOD;119,711;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 4:38:53;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;117,472;GOOD;421,869;GOOD;420,334;GOOD;422,665;GOOD;50,007;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:39:22;3094;GOOD;0;GOOD;246,096;GOOD;1,474;GOOD;-0,3234;GOOD;0,0869;GOOD;0,3623;GOOD;0,892;GOOD;232,844;GOOD;0,159;GOOD;-0,0076;GOOD;0,0312;GOOD;0,0372;GOOD;0,207;GOOD;250,658;GOOD;0,782;GOOD;-0,1464;GOOD;0,0353;GOOD;0,1963;GOOD;0,746;GOOD;124,032;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 4:39:23;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;119,285;GOOD;116,601;GOOD;422,861;GOOD;417,15;GOOD;422,665;GOOD;50,005;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:39:52;3094;GOOD;0;GOOD;244,723;GOOD;1,43;GOOD;-0,3141;GOOD;0,0861;GOOD;0,3501;GOOD;0,898;GOOD;232,909;GOOD;0,16;GOOD;-0,0078;GOOD;0,0311;GOOD;0,0372;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 4:39:53;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;0,213;GOOD;252,506;GOOD;0,746;GOOD;-0,1443;GOOD;0,0347;GOOD;0,189;GOOD;0,765;GOOD;123,983;GOOD;119,192;GOOD;116,743;GOOD;421,589;GOOD;418,68;GOOD;423,435;GOOD;49,98;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:40:22;3094;GOOD;0;GOOD;246,905;GOOD;1,452;GOOD;-0,3198;GOOD;0,0816;GOOD;0,3588;GOOD;0,893;GOOD;231,765;GOOD;0,156;GOOD;-0,0071;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 4:40:23;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;0,0308;GOOD;0,0362;GOOD;0,199;GOOD;251,163;GOOD;0,774;GOOD;-0,1457;GOOD;0,0256;GOOD;0,1941;GOOD;0,751;GOOD;123,855;GOOD;119,434;GOOD;116,645;GOOD;422,31;GOOD;417,051;GOOD;423,952;GOOD;49,99;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:40:53;3094;GOOD;0;GOOD;245,582;GOOD;1,478;GOOD;-0,3243;GOOD;0,0871;GOOD;0,3625;GOOD;0,894;GOOD;230,872;GOOD;0,159;GOOD;-0,0078;GOOD;0,0305;GOOD;0,0366;GOOD;0,215;GOOD;250,959;GOOD;0,782;GOOD;-0,1465;GOOD;0,0368;GOOD;0,1962;GOOD;0,747;GOOD;124,447;GOOD;118,918;GOOD;116,568;GOOD;421,645;GOOD;415,137;GOOD;422,385;GOOD;49,982;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:41:23;3094;GOOD;0;GOOD;243,949;GOOD;1,438;GOOD;-0,3145;GOOD;0,0821;GOOD;0,351;GOOD;0,897;GOOD;232,174;GOOD;0,16;GOOD;-0,0076;GOOD;0,0312;GOOD;0,0372;GOOD;0,207;GOOD;252,242;GOOD;0,749;GOOD;-0,1447;GOOD;0,0345;GOOD;0,1898;GOOD;0,763;GOOD;124,05;GOOD;118,957;GOOD;116,907;GOOD;420,598;GOOD;417,398;GOOD;422,921;GOOD;49,989;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:41:53;3094;GOOD;0;GOOD;243,915;GOOD;1,455;GOOD;-0,3169;GOOD;0,0786;GOOD;0,3557;GOOD;0,891;GOOD;233,892;GOOD;0,161;GOOD;-0,0079;GOOD;0,0308;GOOD;0,0377;GOOD;0,212;GOOD;251,224;GOOD;0,773;GOOD;-0,146;GOOD;0,0268;GOOD;0,1937;GOOD;0,753;GOOD;123,526;GOOD;118,454;GOOD;117,95;GOOD;420,983;GOOD;417,031;GOOD;424,319;GOOD;49,972;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:42:23;3094;GOOD;0;GOOD;244,234;GOOD;1,44;GOOD;-0,3148;GOOD;0,0741;GOOD;0,3519;GOOD;0,895;GOOD;232,046;GOOD;0,16;GOOD;-0,0076;GOOD;0,03;GOOD;0,0371;GOOD;0,21;GOOD;250,787;GOOD;0,751;GOOD;-0,1449;GOOD;0,0269;GOOD;0,1888;GOOD;0,768;GOOD;123,729;GOOD;118,286;GOOD;117,899;GOOD;419,993;GOOD;414,555;GOOD;424,157;GOOD;49,98;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:42:53;3094;GOOD;0;GOOD;244,781;GOOD;1,443;GOOD;-0,3155;GOOD;0,086;GOOD;0,3534;GOOD;0,893;GOOD;231,486;GOOD;0,161;GOOD;-0,0076;GOOD;0,0304;GOOD;0,0374;GOOD;0,206;GOOD;249,496;GOOD;0,768;GOOD;-0,146;GOOD;0,0324;GOOD;0,1926;GOOD;0,759;GOOD;123,999;GOOD;118,348;GOOD;117,622;GOOD;420,392;GOOD;413,044;GOOD;422,863;GOOD;49,993;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:43:23;3094;GOOD;0;GOOD;245,563;GOOD;1,447;GOOD;-0,3181;GOOD;0,0822;GOOD;0,3559;GOOD;0,894;GOOD;233,573;GOOD;0,161;GOOD;-0,0075;GOOD;0,0308;GOOD;0,0376;GOOD;0,202;GOOD;249,519;GOOD;0,76;GOOD;-0,145;GOOD;0,0225;GOOD;0,1882;GOOD;0,768;GOOD;123,161;GOOD;118,855;GOOD;117,918;GOOD;421,402;GOOD;415,904;GOOD;424,296;GOOD;50,008;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:43:54;3094;GOOD;0;GOOD;246,667;GOOD;1,492;GOOD;-0,3294;GOOD;0,0807;GOOD;0,3671;GOOD;0,896;GOOD;233,613;GOOD;0,161;GOOD;-0,0075;GOOD;0,0307;GOOD;0,0375;GOOD;0,201;GOOD;249,612;GOOD;0,766;GOOD;-0,1452;GOOD;0,0234;GOOD;0,1899;GOOD;0,765;GOOD;123,008;GOOD;119,172;GOOD;117,778;GOOD;422,082;GOOD;416,791;GOOD;424,897;GOOD;50;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:44:24;3094;GOOD;0;GOOD;245,108;GOOD;1,536;GOOD;-0,3384;GOOD;0,0914;GOOD;0,3772;GOOD;0,898;GOOD;235,406;GOOD;0,162;GOOD;-0,0078;GOOD;0,031;GOOD;0,0381;GOOD;0,206;GOOD;249,772;GOOD;0,782;GOOD;-0,1465;GOOD;0,0234;GOOD;0,1944;GOOD;0,754;GOOD;123,004;GOOD;119,219;GOOD;117,707;GOOD;422,235;GOOD;418,405;GOOD;423,429;GOOD;50,01;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:44:54;3094;GOOD;0;GOOD;245,45;GOOD;1,422;GOOD;-0,3147;GOOD;0,0796;GOOD;0,3492;GOOD;0,901;GOOD;234,825;GOOD;0,2;GOOD;-0,0132;GOOD;0,033;GOOD;0,0476;GOOD;0,283;GOOD;248,619;GOOD;0,738;GOOD;-0,1472;GOOD;0,0175;GOOD;0,1842;GOOD;0,802;GOOD;122,999;GOOD;118,922;GOOD;118,009;GOOD;422,377;GOOD;416,602;GOOD;423,245;GOOD;49,982;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:45:24;3094;GOOD;0;GOOD;244,556;GOOD;1,382;GOOD;-0,3053;GOOD;0,0816;GOOD;0,338;GOOD;0,903;GOOD;234,976;GOOD;0,25;GOOD;-0,0175;GOOD;0,0351;GOOD;0,0588;GOOD;0,3;GOOD;249,259;GOOD;0,708;GOOD;-0,1471;GOOD;0,0137;GOOD;0,1764;GOOD;0,835;GOOD;123,421;GOOD;118,43;GOOD;118,079;GOOD;422,276;GOOD;416,124;GOOD;423,465;GOOD;49,977;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:45:54;3094;GOOD;0;GOOD;244,024;GOOD;1,473;GOOD;-0,3251;GOOD;0,0919;GOOD;0,3622;GOOD;0,902;GOOD;235,318;GOOD;0,182;GOOD;-0,0112;GOOD;0,0354;GOOD;0,0433;GOOD;0,266;GOOD;249,332;GOOD;0,743;GOOD;-0,1462;GOOD;0,0296;GOOD;0,1854;GOOD;0,79;GOOD;123,936;GOOD;118,7;GOOD;117,305;GOOD;423,204;GOOD;417,052;GOOD;421,433;GOOD;49,985;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:46:24;3094;GOOD;0;GOOD;242,877;GOOD;1,45;GOOD;-0,3142;GOOD;0,0696;GOOD;0,3523;GOOD;0,892;GOOD;235,016;GOOD;0,16;GOOD;-0,0076;GOOD;0,0315;GOOD;0,0376;GOOD;0,205;GOOD;249,875;GOOD;0,769;GOOD;-0,1453;GOOD;0,0263;GOOD;0,1919;GOOD;0,757;GOOD;123,707;GOOD;118,832;GOOD;117,402;GOOD;421,456;GOOD;417,526;GOOD;421,116;GOOD;50,003;GOOD;0;GOOD;0;GOOD;
04.11.2025 4:46:54;3094;GOOD;0;GOOD;241,952;GOOD;1,459;GOOD;-0,3155;GOOD;0,0835;GOOD;0,3524;GOOD;0,894;GOOD;235,891;GOOD;0,166;GOOD;-0,0089;GOOD;0,0334;GOOD;0,0394;GOOD;0,231;GOOD;249,741;GOOD;0,766;GOOD;-0,147;GOOD;0,0343;GOOD;0,1915;GOOD;0,769;GOOD;123,399;GOOD;118,019;GOOD;118,527;GOOD;420,695;GOOD;416,496;GOOD;422,475;GOOD;50,007;GOOD;0;GOOD;0;GOOD;
