Дата и время;Состояние батареи.Напряжение.Значение;Состояние батареи.Напряжение.Качество;Статус прибора.Статус.Значение;Статус прибора.Статус.Качество;Фаза А.Напряжение.Значение;Фаза А.Напряжение.Качество;Фаза А.Ток.Значение;Фаза А.Ток.Качество;Фаза А.Активная мощность.Значение;Фаза А.Активная мощность.Качество;Фаза А.Реактивная мощность.Значение;Фаза А.Реактивная мощность.Качество;Фаза А.Полная мощность.Значение;Фаза А.Полная мощность.Качество;Фаза А.Коэффициент мощности.Значение;Фаза А.Коэффициент мощности.Качество;Фаза B.Напряжение.Значение;Фаза B.Напряжение.Качество;Фаза B.Ток.Значение;Фаза B.Ток.Качество;Фаза B.Активная мощность.Значение;Фаза B.Активная мощность.Качество;Фаза B.Реактивная мощность.Значение;Фаза B.Реактивная мощность.Качество;Фаза B.Полная мощность.Значение;Фаза B.Полная мощность.Качество;Фаза B.Коэффициент мощности.Значение;Фаза B.Коэффициент мощности.Качество;Фаза C.Напряжение.Значение;Фаза C.Напряжение.Качество;Фаза C.Ток.Значение;Фаза C.Ток.Качество;Фаза C.Активная мощность.Значение;Фаза C.Активная мощность.Качество;Фаза C.Реактивная мощность.Значение;Фаза C.Реактивная мощность.Качество;Фаза C.Полная мощность.Значение;Фаза C.Полная мощность.Качество;Фаза C.Коэффициент мощности.Значение;Фаза C.Коэффициент мощности.Качество;Межфазные значения.Межфазный угол A-B.Значение;Межфазные значения.Межфазный угол A-B.Качество;Межфазные значения.Межфазный угол B-C.Значение;Межфазные значения.Межфазный угол B-C.Качество;Межфазные значения.Межфазный угол C-A.Значение;Межфазные значения.Межфазный угол C-A.Качество;Межфазные значения.Межфазное напряжение A-B.Значение;Межфазные значения.Межфазное напряжение A-B.Качество;Межфазные значения.Межфазное напряжение B-C.Значение;Межфазные значения.Межфазное напряжение B-C.Качество;Межфазные значения.Межфазное напряжение C-A.Значение;Межфазные значения.Межфазное напряжение C-A.Качество;Результаты измерений.Частота сети.Значение;Результаты измерений.Частота сети.Качество;Измерение параметров электросети.Статус ошибок измерений.Значение;Измерение параметров электросети.Статус ошибок измерений.Качество;Дискретные выходы.Изменить состояние дискретных выходов.Значение;Дискретные выходы.Изменить состояние дискретных выходов.Качество;
04.11.2025 3:08:00;3094;GOOD;0;GOOD;240,256;GOOD;1,306;GOOD;-0,2797;GOOD;0,0665;GOOD;0,3135;GOOD;0,893;GOOD;236,347;GOOD;0,199;GOOD;-0,0129;GOOD;0,0367;GOOD;0,0468;GOOD;0,276;GOOD;248,021;GOOD;0,744;GOOD;-0,146;GOOD;0,0317;GOOD;0,1841;GOOD;0,794;GOOD;123,355;GOOD;118,262;GOOD;118,297;GOOD;419,597;GOOD;415,857;GOOD;419,125;GOOD;49,998;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:08:30;3094;GOOD;0;GOOD;239,653;GOOD;1,296;GOOD;-0,2777;GOOD;0,052;GOOD;0,3106;GOOD;0,894;GOOD;236,717;GOOD;0,176;GOOD;-0,0106;GOOD;0,0319;GOOD;0,0417;GOOD;0,256;GOOD;248,697;GOOD;0,726;GOOD;-0,1442;GOOD;0,02;GOOD;0,1812;GOOD;0,798;GOOD;124,328;GOOD;118,434;GOOD;117,168;GOOD;421,293;GOOD;417,087;GOOD;416,779;GOOD;49,995;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:09:00;3094;GOOD;0;GOOD;240,944;GOOD;1,33;GOOD;-0,2853;GOOD;0,0629;GOOD;0,3196;GOOD;0,891;GOOD;233,984;GOOD;0,159;GOOD;-0,0076;GOOD;0,0308;GOOD;0,0372;GOOD;0,209;GOOD;248,28;GOOD;0,746;GOOD;-0,1436;GOOD;0,0298;GOOD;0,1843;GOOD;0,78;GOOD;123,446;GOOD;119,066;GOOD;117,41;GOOD;418,19;GOOD;415,702;GOOD;418,096;GOOD;50,005;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:09:30;3094;GOOD;0;GOOD;241,538;GOOD;1,327;GOOD;-0,2857;GOOD;0,0529;GOOD;0,3216;GOOD;0,889;GOOD;233,444;GOOD;0,16;GOOD;-0,0078;GOOD;0,0319;GOOD;0,0373;GOOD;0,212;GOOD;248,778;GOOD;0,787;GOOD;-0,1472;GOOD;0,0332;GOOD;0,1963;GOOD;0,75;GOOD;123,954;GOOD;118,715;GOOD;117,273;GOOD;419,381;GOOD;415,027;GOOD;418,811;GOOD;50,013;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:10:00;3094;GOOD;0;GOOD;242,03;GOOD;1,327;GOOD;-0,2861;GOOD;0,0602;GOOD;0,3215;GOOD;0,89;GOOD;233,688;GOOD;0,16;GOOD;-0,0077;GOOD;0,0309;GOOD;0,0373;GOOD;0,209;GOOD;249,137;GOOD;0,76;GOOD;-0,145;GOOD;0,0227;GOOD;0,1875;GOOD;0,77;GOOD;124,412;GOOD;118,406;GOOD;117,116;GOOD;420,798;GOOD;414,843;GOOD;419,103;GOOD;50,015;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:10:30;3094;GOOD;0;GOOD;244,066;GOOD;1,319;GOOD;-0,2873;GOOD;0,0619;GOOD;0,3223;GOOD;0,893;GOOD;232,959;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 3:10:31;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;0,159;GOOD;-0,0078;GOOD;0,0314;GOOD;0,0371;GOOD;0,212;GOOD;246,51;GOOD;0,765;GOOD;-0,1443;GOOD;0,0338;GOOD;0,1878;GOOD;0,769;GOOD;124,064;GOOD;119,07;GOOD;116,761;GOOD;421,331;GOOD;413,256;GOOD;417,698;GOOD;50,011;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:11:00;3094;GOOD;0;GOOD;244,317;GOOD;1,328;GOOD;-0,2898;GOOD;0,0554;GOOD;0,3247;GOOD;0,893;GOOD;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;
04.11.2025 3:11:01;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;;UNDEFINED;232,556;GOOD;0,16;GOOD;-0,0089;GOOD;0,0304;GOOD;0,0373;GOOD;0,242;GOOD;248,767;GOOD;0,769;GOOD;-0,1455;GOOD;0,0308;GOOD;0,1917;GOOD;0,76;GOOD;124,138;GOOD;118,769;GOOD;117,034;GOOD;421,343;GOOD;414,271;GOOD;420,593;GOOD;50,013;GOOD;0;GOOD;0;GOOD;
04.11.2025 3:11:31;3094;GOOD;0;GOOD;244,926;GOOD;1,291;GOOD;-0,2858;GOOD;0,0717;GOOD;0,3164;GOOD;0,904;GOOD;231,735;GOOD;0,174;GOOD;-0,0124;GOOD;0,0301;GOOD;0,0405;GOOD;0,314;GOOD;247,149;GOOD;0,698;GOOD;-0,1387;GOOD;0,0273;GOOD;0,1734;GOOD;0,8;GOOD;124,506;GOOD;118,202;GOOD;117,194;GOOD;421,893;GOOD;411,089;GOOD;419,862;GOOD;50,021;GOOD;0;GOOD;0;GOOD;
